1106022024446954311ARQUIVOCAIXA                                      1234500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2100000000416001012022202212039883506Pedro Monteiro                                                        3112196900000004160Joana dos Santos                                                      01000687.09120502202431122024000000000000000000000000963243CD80247708172145430000000
2100000000416101012022202296823873271Carlos Fabrício                                                       3112196900000004161Maria da Silva                                                        01000477.22120502202431122024000000000000000000005555102579PP39443600138159720000000
2100000000416201012022202224938255906Pedro Monteiro                                                        3112196900000004162Joana dos Santos                                                      01000413.63100502202431122024000000000000000000005555437374PP98460305931110020000000
2100000000416301012022202245343685058Pedro Monteiro                                                        3112196900000004163Joana dos Santos                                                      01000599.84040502202431122024000000000000000000009999565676CD01996316167119220000000
2100000000416401012022202264814391877Victor Czarnobay                                                      3112196900000004164Maria da Silva                                                        01000982.39100502202431122024000000000000000000005555291701CD68259651591439510000000
2100000000416501012022202218431228040Roberta Barbosa                                                       3112196900000004165Maria da Silva                                                        01000642.92080502202431122024000000000000000000005555870940CC90235433817792410000000
2100000000416601012022202227275892707Victor Czarnobay                                                      3112196900000004166Maria da Silva                                                        01000583.49120502202431122024000000000000000000009999508987CC15361793386463420000000
2100000000416701012022202236398745252Josefa Pereira                                                        3112196900000004167Joana dos Santos                                                      01000169.64060502202431122024000000000000000000005555294699PP22922335075271020000000
2100000000416801012022202214599532671Carlos Fabrício                                                       3112196900000004168Maria da Silva                                                        01000904.00050502202431122024000000000000000000000000900432CD73318040377567430000000
2100000000416901012022202291063731329Maria da Silva                                                        3112196900000004169Josefa Pereira                                                        01001201.70040502202431122024000000000000000000005555143891PP29435593937015810000000
2100000000417001012022202262410154898Maria da Silva                                                        3112196900000004170Josefa Pereira                                                        01000298.79010502202431122024000000000000000000009999971169CC61217330666585710000000
2100000000417101012022202228092358328Cristiano Ronaldo                                                     3112196900000004171Maria da Silva                                                        01001040.67050502202431122024000000000000000000000000125679CC28597898450199320000000
2100000000417201012022202217158390331Maria da Silva                                                        3112196900000004172Maria da Silva                                                        01001087.78120502202431122024000000000000000000005555647907CC91878534685248930000000
2100000000417301012022202273753470596Victor Czarnobay                                                      3112196900000004173Roberta Barbosa                                                       01000110.15020502202431122024000000000000000000000000049751CC91131841813108610000000
2100000000417401012022202214389074305Pedro Monteiro                                                        3112196900000004174Roberta Barbosa                                                       01000387.85050502202431122024000000000000000000005555849604CC33013880401372230000000
2100000000417501012022202279227053868Alan Barbosa                                                          3112196900000004175Joana dos Santos                                                      01000731.65100502202431122024000000000000000000000000122648CC74583869553678020000000
2100000000417601012022202216236982281Josefa Pereira                                                        3112196900000004176Josefa Pereira                                                        01001063.95070502202431122024000000000000000000005555747167PP51311894680608430000000
2100000000417701012022202285191149961Pedro Monteiro                                                        3112196900000004177Josefa Pereira                                                        01000746.41050502202431122024000000000000000000005555969864CD39400771624611720000000
2100000000417801012022202224138888249Pedro Monteiro                                                        3112196900000004178Joana dos Santos                                                      01000840.99020502202431122024000000000000000000000000869065CC24258572041601620000000
2100000000417901012022202283704884716Victor Czarnobay                                                      3112196900000004179Josefa Pereira                                                        01000834.43010502202431122024000000000000000000009999873017PP17146896740293210000000
2100000000418001012022202276923039103Alan Barbosa                                                          3112196900000004180Joana dos Santos                                                      01000663.52040502202431122024000000000000000000005555763368PP08529279782222110000000
2100000000418101012022202277255537998Cristiano Ronaldo                                                     3112196900000004181Joana dos Santos                                                      01000995.90050502202431122024000000000000000000000000854128PP91768149727728810000000
2100000000418201012022202262436407856Cristiano Ronaldo                                                     3112196900000004182Josefa Pereira                                                        01000108.54040502202431122024000000000000000000009999617423CC77881939186789310000000
2100000000418301012022202206984019339Carlos Fabrício                                                       3112196900000004183Josefa Pereira                                                        01000756.06030502202431122024000000000000000000009999893150CC45557561524982130000000
2100000000418401012022202227009587561Josefa Pereira                                                        3112196900000004184Joana dos Santos                                                      01000594.00120502202431122024000000000000000000005555215564CD38055399108875410000000
2100000000418501012022202228971608806Carlos Fabrício                                                       3112196900000004185Joana dos Santos                                                      01000059.21080502202431122024000000000000000000009999168969CD19159395475955430000000
2100000000418601012022202240519826880Roberta Barbosa                                                       3112196900000004186Joana dos Santos                                                      01000228.13070502202431122024000000000000000000000000872184PP27235549868652120000000
2100000000418701012022202296225678630Joana dos Santos                                                      3112196900000004187Maria da Silva                                                        01000462.11080502202431122024000000000000000000009999870657PP70301578564810830000000
2100000000418801012022202203481697058Roberta Barbosa                                                       3112196900000004188Josefa Pereira                                                        01001175.35010502202431122024000000000000000000005555483389CC85252179991620210000000
2100000000418901012022202206128087395Maria da Silva                                                        3112196900000004189Maria da Silva                                                        01000924.50070502202431122024000000000000000000000000059280CD69539294049929930000000
2100000000419001012022202229316314881Josefa Pereira                                                        3112196900000004190Roberta Barbosa                                                       01000703.26080502202431122024000000000000000000000000754196PP41410003130753610000000
2100000000419101012022202242987702819Carlos Fabrício                                                       3112196900000004191Joana dos Santos                                                      01000826.52010502202431122024000000000000000000009999570672CC80973618460466030000000
2100000000419201012022202256879136617Victor Czarnobay                                                      3112196900000004192Josefa Pereira                                                        01000960.25030502202431122024000000000000000000000000834985CC67410626599631210000000
2100000000419301012022202266118506202Maria da Silva                                                        3112196900000004193Roberta Barbosa                                                       01001083.36010502202431122024000000000000000000005555965008CC98350681657582630000000
2100000000419401012022202251553471335Joana dos Santos                                                      3112196900000004194Maria da Silva                                                        01000591.70010502202431122024000000000000000000005555719012CD47571074507947120000000
2100000000419501012022202212761008978Joana dos Santos                                                      3112196900000004195Maria da Silva                                                        01000207.51070502202431122024000000000000000000005555150073PP12257497384274410000000
2100000000419601012022202221645523470Carlos Fabrício                                                       3112196900000004196Roberta Barbosa                                                       01000124.77110502202431122024000000000000000000000000481658CC76604357184652420000000
2100000000419701012022202298917736346Roberta Barbosa                                                       3112196900000004197Josefa Pereira                                                        01000751.49030502202431122024000000000000000000000000435137PP28528342876267120000000
2100000000419801012022202286537327268Maria da Silva                                                        3112196900000004198Roberta Barbosa                                                       01001167.41090502202431122024000000000000000000000000181614PP03590378845382630000000
2100000000419901012022202213099869976Josefa Pereira                                                        3112196900000004199Roberta Barbosa                                                       01000645.62070502202431122024000000000000000000000000746098PP72483247318195120000000
2100000000420001012022202264198499103Roberta Barbosa                                                       3112196900000004200Josefa Pereira                                                        01000207.88080502202431122024000000000000000000009999845114PP66496922013228710000000
2100000000420101012022202285945641294Pedro Monteiro                                                        3112196900000004201Roberta Barbosa                                                       01000923.42080502202431122024000000000000000000000000455615CD89151119965604920000000
2100000000420201012022202227565942005Roberta Barbosa                                                       3112196900000004202Roberta Barbosa                                                       01000038.08080502202431122024000000000000000000009999640056CD53714431858712420000000
2100000000420301012022202260299078019Maria da Silva                                                        3112196900000004203Roberta Barbosa                                                       01000966.03020502202431122024000000000000000000005555802172PP31404211696081720000000
2100000000420401012022202251538397975Roberta Barbosa                                                       3112196900000004204Roberta Barbosa                                                       01001075.98080502202431122024000000000000000000005555048399CD01946903925520110000000
2100000000420501012022202269124743136Carlos Fabrício                                                       3112196900000004205Roberta Barbosa                                                       01000392.79050502202431122024000000000000000000000000708125CC18338221667438820000000
2100000000420601012022202250368503193Joana dos Santos                                                      3112196900000004206Roberta Barbosa                                                       01000239.46070502202431122024000000000000000000000000426426PP67017692847175720000000
2100000000420701012022202213823028933Roberta Barbosa                                                       3112196900000004207Roberta Barbosa                                                       01000568.16120502202431122024000000000000000000009999870735CC43675623011017730000000
2100000000420801012022202272940671640Roberta Barbosa                                                       3112196900000004208Roberta Barbosa                                                       01000742.71020502202431122024000000000000000000009999579398CC34271532945025510000000
2100000000420901012022202200053934208Joana dos Santos                                                      3112196900000004209Joana dos Santos                                                      01001159.61100502202431122024000000000000000000009999773758PP96467359007038810000000
2100000000421001012022202267965126593Maria da Silva                                                        3112196900000004210Josefa Pereira                                                        01000314.11040502202431122024000000000000000000009999174316PP77207548453292520000000
2100000000421101012022202269402056458Victor Czarnobay                                                      3112196900000004211Maria da Silva                                                        01001002.00110502202431122024000000000000000000005555153032PP01741109905757020000000
2100000000421201012022202235559510248Victor Czarnobay                                                      3112196900000004212Joana dos Santos                                                      01000816.47080502202431122024000000000000000000000000471406PP71967757194468120000000
2100000000421301012022202256270978045Cristiano Ronaldo                                                     3112196900000004213Roberta Barbosa                                                       01000296.31040502202431122024000000000000000000005555883805PP57339819700640330000000
2100000000421401012022202205764032952Josefa Pereira                                                        3112196900000004214Maria da Silva                                                        01000263.98040502202431122024000000000000000000000000325507CC17934045376937210000000
2100000000421501012022202255935544685Roberta Barbosa                                                       3112196900000004215Joana dos Santos                                                      01000375.03020502202431122024000000000000000000000000045932CD47721660534172810000000
2100000000421601012022202237643861181Josefa Pereira                                                        3112196900000004216Roberta Barbosa                                                       01000462.37050502202431122024000000000000000000009999878307CD15362101573598510000000
2100000000421701012022202255051880240Maria da Silva                                                        3112196900000004217Roberta Barbosa                                                       01000263.60120502202431122024000000000000000000005555092147PP13053150156558030000000
2100000000421801012022202290090395008Alan Barbosa                                                          3112196900000004218Joana dos Santos                                                      01000251.15090502202431122024000000000000000000005555244292PP17024876919690810000000
2100000000421901012022202244118545671Victor Czarnobay                                                      3112196900000004219Joana dos Santos                                                      01000043.45070502202431122024000000000000000000005555487897CD46740508489913330000000
2100000000422001012022202243528095348Maria da Silva                                                        3112196900000004220Maria da Silva                                                        01000801.01070502202431122024000000000000000000005555398067CC16564448069041630000000
2100000000422101012022202207522094571Alan Barbosa                                                          3112196900000004221Josefa Pereira                                                        01000543.88040502202431122024000000000000000000000000001117PP49952189686437410000000
2100000000422201012022202202301587415Cristiano Ronaldo                                                     3112196900000004222Josefa Pereira                                                        01000414.27050502202431122024000000000000000000005555599451CC56689364920224110000000
2100000000422301012022202214854534087Victor Czarnobay                                                      3112196900000004223Joana dos Santos                                                      01000471.69030502202431122024000000000000000000000000961705PP37621271249660930000000
2100000000422401012022202228530546432Alan Barbosa                                                          3112196900000004224Joana dos Santos                                                      01000946.80090502202431122024000000000000000000009999770349PP80643777472949630000000
2100000000422501012022202284751805025Josefa Pereira                                                        3112196900000004225Maria da Silva                                                        01000176.89020502202431122024000000000000000000000000160686CD53006696613324020000000
2100000000422601012022202214532430745Victor Czarnobay                                                      3112196900000004226Joana dos Santos                                                      01000237.87020502202431122024000000000000000000005555932864PP84598201265963630000000
2100000000422701012022202299824453444Roberta Barbosa                                                       3112196900000004227Roberta Barbosa                                                       01000976.79020502202431122024000000000000000000009999002479CC78931880737067210000000
2100000000422801012022202264911669812Cristiano Ronaldo                                                     3112196900000004228Josefa Pereira                                                        01000903.75100502202431122024000000000000000000005555127402CD28501914591666320000000
2100000000422901012022202267267150691Roberta Barbosa                                                       3112196900000004229Joana dos Santos                                                      01000542.05110502202431122024000000000000000000005555394117CC49265728866698630000000
2100000000423001012022202267031412774Carlos Fabrício                                                       3112196900000004230Joana dos Santos                                                      01000029.17050502202431122024000000000000000000005555379229CC69855956443180030000000
2100000000423101012022202200175063501Josefa Pereira                                                        3112196900000004231Joana dos Santos                                                      01000151.36060502202431122024000000000000000000005555206923PP81586926133711810000000
2100000000423201012022202249789157898Carlos Fabrício                                                       3112196900000004232Josefa Pereira                                                        01000603.29020502202431122024000000000000000000000000961203CC54736863181873330000000
2100000000423301012022202284697115642Maria da Silva                                                        3112196900000004233Roberta Barbosa                                                       01001032.78110502202431122024000000000000000000005555075958PP99640258002350610000000
2100000000423401012022202247735486628Josefa Pereira                                                        3112196900000004234Josefa Pereira                                                        01001053.01010502202431122024000000000000000000000000115592PP73906259493490910000000
2100000000423501012022202285635727872Joana dos Santos                                                      3112196900000004235Joana dos Santos                                                      01000627.60120502202431122024000000000000000000009999049133CD71140368213605220000000
2100000000423601012022202200248548265Alan Barbosa                                                          3112196900000004236Maria da Silva                                                        01000480.15010502202431122024000000000000000000009999499922CC79129515495400610000000
2100000000423701012022202278972247161Josefa Pereira                                                        3112196900000004237Josefa Pereira                                                        01000889.89110502202431122024000000000000000000005555067327CC37086806134461630000000
2100000000423801012022202244233002320Alan Barbosa                                                          3112196900000004238Maria da Silva                                                        01000284.32100502202431122024000000000000000000005555813166CC56852641419055510000000
2100000000423901012022202242768564341Carlos Fabrício                                                       3112196900000004239Roberta Barbosa                                                       01000185.66020502202431122024000000000000000000000000256414PP14878261805539620000000
2100000000424001012022202296622997110Victor Czarnobay                                                      3112196900000004240Joana dos Santos                                                      01000948.35090502202431122024000000000000000000000000085935CC74889506536639920000000
2100000000424101012022202298369178360Alan Barbosa                                                          3112196900000004241Joana dos Santos                                                      01000365.36120502202431122024000000000000000000005555033990CC04968393164219010000000
2100000000424201012022202276924977667Joana dos Santos                                                      3112196900000004242Maria da Silva                                                        01001087.96030502202431122024000000000000000000000000230125PP41772194821715530000000
2100000000424301012022202260420986714Joana dos Santos                                                      3112196900000004243Maria da Silva                                                        01000336.09050502202431122024000000000000000000009999266740PP85949064234637620000000
2100000000424401012022202211030765449Joana dos Santos                                                      3112196900000004244Josefa Pereira                                                        01000338.72080502202431122024000000000000000000000000054810PP26544021975731620000000
2100000000424501012022202276708563793Josefa Pereira                                                        3112196900000004245Maria da Silva                                                        01001001.94080502202431122024000000000000000000009999433444PP79582793110533630000000
2100000000424601012022202244583550825Roberta Barbosa                                                       3112196900000004246Joana dos Santos                                                      01000940.31070502202431122024000000000000000000000000401027CD08572330943631230000000
2100000000424701012022202262478618524Joana dos Santos                                                      3112196900000004247Roberta Barbosa                                                       01000749.64070502202431122024000000000000000000005555121519PP87456833980159320000000
2100000000424801012022202292144106687Maria da Silva                                                        3112196900000004248Maria da Silva                                                        01000061.83090502202431122024000000000000000000009999100233PP72519498446716530000000
2100000000424901012022202227677693045Cristiano Ronaldo                                                     3112196900000004249Roberta Barbosa                                                       01000085.60100502202431122024000000000000000000009999977603CD83830919190496320000000
2100000000425001012022202288627245275Carlos Fabrício                                                       3112196900000004250Joana dos Santos                                                      01000527.31100502202431122024000000000000000000000000587169CC01905820023611420000000
2100000000425101012022202288121956982Roberta Barbosa                                                       3112196900000004251Maria da Silva                                                        01000236.99040502202431122024000000000000000000005555204871CC33982497222270620000000
2100000000425201012022202253146032229Alan Barbosa                                                          3112196900000004252Joana dos Santos                                                      01001052.96100502202431122024000000000000000000005555962789CC13164698347365630000000
2100000000425301012022202285963203436Cristiano Ronaldo                                                     3112196900000004253Joana dos Santos                                                      01001204.79120502202431122024000000000000000000000000424107PP13034108558332530000000
2100000000425401012022202213778416583Carlos Fabrício                                                       3112196900000004254Roberta Barbosa                                                       01000476.19050502202431122024000000000000000000000000451783PP15515779601339010000000
2100000000425501012022202220630106042Roberta Barbosa                                                       3112196900000004255Roberta Barbosa                                                       01000973.55110502202431122024000000000000000000000000620461PP61196272679732210000000
2100000000425601012022202245284365104Victor Czarnobay                                                      3112196900000004256Joana dos Santos                                                      01000850.23010502202431122024000000000000000000000000108799PP87531986939161120000000
2100000000425701012022202281663291235Victor Czarnobay                                                      3112196900000004257Joana dos Santos                                                      01000984.04120502202431122024000000000000000000009999046163PP95804468757487510000000
2100000000425801012022202297094256740Carlos Fabrício                                                       3112196900000004258Roberta Barbosa                                                       01000135.37050502202431122024000000000000000000005555566549PP76218633141194920000000
2100000000425901012022202218985171781Alan Barbosa                                                          3112196900000004259Roberta Barbosa                                                       01000325.61080502202431122024000000000000000000000000771134CC39374604709145220000000
2100000000426001012022202267486575689Carlos Fabrício                                                       3112196900000004260Joana dos Santos                                                      01000720.38110502202431122024000000000000000000009999489408CD56047627601783520000000
2100000000426101012022202234753592620Cristiano Ronaldo                                                     3112196900000004261Joana dos Santos                                                      01001110.37040502202431122024000000000000000000005555232462PP25552600402632930000000
2100000000426201012022202240053501036Roberta Barbosa                                                       3112196900000004262Maria da Silva                                                        01000904.39020502202431122024000000000000000000000000477540CC92018684454594010000000
2100000000426301012022202252164047901Joana dos Santos                                                      3112196900000004263Roberta Barbosa                                                       01000281.13060502202431122024000000000000000000005555038664PP52467503191757010000000
2100000000426401012022202241551782768Roberta Barbosa                                                       3112196900000004264Maria da Silva                                                        01000929.55060502202431122024000000000000000000005555670610PP60754169653416620000000
2100000000426501012022202229185501474Maria da Silva                                                        3112196900000004265Maria da Silva                                                        01000154.81070502202431122024000000000000000000000000175469CC84646633155454330000000
2100000000426601012022202293129705157Pedro Monteiro                                                        3112196900000004266Roberta Barbosa                                                       01000988.11100502202431122024000000000000000000000000495720PP53910658122305130000000
2100000000426701012022202260951321945Pedro Monteiro                                                        3112196900000004267Maria da Silva                                                        01000441.02110502202431122024000000000000000000009999202283PP88017596800400110000000
2100000000426801012022202249165608460Joana dos Santos                                                      3112196900000004268Joana dos Santos                                                      01000456.76100502202431122024000000000000000000009999513249CD09309405243430630000000
2100000000426901012022202284218099942Joana dos Santos                                                      3112196900000004269Josefa Pereira                                                        01000610.12110502202431122024000000000000000000005555191211PP30239673794301710000000
2100000000427001012022202229525881292Joana dos Santos                                                      3112196900000004270Maria da Silva                                                        01001191.23010502202431122024000000000000000000005555860585CD19402149200300630000000
2100000000427101012022202245094793066Carlos Fabrício                                                       3112196900000004271Josefa Pereira                                                        01001008.43020502202431122024000000000000000000009999373779CD45387295983880520000000
2100000000427201012022202245519667010Alan Barbosa                                                          3112196900000004272Joana dos Santos                                                      01001094.38090502202431122024000000000000000000009999780989PP68283993481611810000000
2100000000427301012022202211559445387Victor Czarnobay                                                      3112196900000004273Joana dos Santos                                                      01000843.99040502202431122024000000000000000000005555079372PP50315664745629730000000
2100000000427401012022202274313495586Joana dos Santos                                                      3112196900000004274Joana dos Santos                                                      01000914.68100502202431122024000000000000000000005555620065CD76244772539878810000000
2100000000427501012022202286781941794Roberta Barbosa                                                       3112196900000004275Joana dos Santos                                                      01000635.87110502202431122024000000000000000000000000600750CD46708558924486210000000
2100000000427601012022202283322010869Maria da Silva                                                        3112196900000004276Maria da Silva                                                        01000098.88060502202431122024000000000000000000009999084511CC20251429675967930000000
2100000000427701012022202229550293531Carlos Fabrício                                                       3112196900000004277Roberta Barbosa                                                       01000196.51060502202431122024000000000000000000000000557095PP53776959401691420000000
2100000000427801012022202265211909392Joana dos Santos                                                      3112196900000004278Roberta Barbosa                                                       01000898.82100502202431122024000000000000000000000000049479CC01445170731763720000000
2100000000427901012022202228650554843Josefa Pereira                                                        3112196900000004279Josefa Pereira                                                        01000657.88100502202431122024000000000000000000005555215787CC43476853276092930000000
2100000000428001012022202245979772387Josefa Pereira                                                        3112196900000004280Josefa Pereira                                                        01000192.11020502202431122024000000000000000000000000231370CD34966627055448430000000
2100000000428101012022202200384510299Victor Czarnobay                                                      3112196900000004281Roberta Barbosa                                                       01000015.68120502202431122024000000000000000000005555659143PP97194687867111610000000
2100000000428201012022202269684330443Maria da Silva                                                        3112196900000004282Roberta Barbosa                                                       01000776.02090502202431122024000000000000000000000000343657PP27321559449060120000000
2100000000428301012022202228532417493Alan Barbosa                                                          3112196900000004283Joana dos Santos                                                      01000119.83120502202431122024000000000000000000005555912871PP14687807677112210000000
2100000000428401012022202295331619658Alan Barbosa                                                          3112196900000004284Josefa Pereira                                                        01000416.83100502202431122024000000000000000000000000119828PP20342499730708110000000
2100000000428501012022202248191495828Carlos Fabrício                                                       3112196900000004285Joana dos Santos                                                      01000249.17040502202431122024000000000000000000005555831094CC45809952136410120000000
2100000000428601012022202240777904867Victor Czarnobay                                                      3112196900000004286Maria da Silva                                                        01000194.32120502202431122024000000000000000000005555522969CC54089643469784520000000
2100000000428701012022202247750717005Maria da Silva                                                        3112196900000004287Maria da Silva                                                        01000089.24120502202431122024000000000000000000005555069672CC46448554797285630000000
2100000000428801012022202206867884923Cristiano Ronaldo                                                     3112196900000004288Joana dos Santos                                                      01000570.21110502202431122024000000000000000000000000754568PP37450001656510520000000
2100000000428901012022202256875618430Joana dos Santos                                                      3112196900000004289Maria da Silva                                                        01000740.96090502202431122024000000000000000000000000582750PP58872660303717710000000
2100000000429001012022202260603102448Roberta Barbosa                                                       3112196900000004290Joana dos Santos                                                      01000309.60020502202431122024000000000000000000000000194507CD43754135151325630000000
2100000000429101012022202285210061537Joana dos Santos                                                      3112196900000004291Roberta Barbosa                                                       01000959.33120502202431122024000000000000000000005555522113CC28883039978461820000000
2100000000429201012022202299217222831Victor Czarnobay                                                      3112196900000004292Roberta Barbosa                                                       01001007.80120502202431122024000000000000000000000000488318CD34032611287344920000000
2100000000429301012022202244209918207Roberta Barbosa                                                       3112196900000004293Josefa Pereira                                                        01000202.76080502202431122024000000000000000000005555081809PP25176271211407230000000
2100000000429401012022202270513450196Roberta Barbosa                                                       3112196900000004294Maria da Silva                                                        01000519.82010502202431122024000000000000000000009999364834CC33178557490489510000000
2100000000429501012022202285103301391Cristiano Ronaldo                                                     3112196900000004295Maria da Silva                                                        01001186.87080502202431122024000000000000000000009999597999CC79375105271779020000000
2100000000429601012022202275612646340Alan Barbosa                                                          3112196900000004296Maria da Silva                                                        01000229.06020502202431122024000000000000000000000000197611CC31453352301193820000000
2100000000429701012022202232904756498Victor Czarnobay                                                      3112196900000004297Josefa Pereira                                                        01000464.70010502202431122024000000000000000000005555303488CC87517082731589230000000
2100000000429801012022202259889280177Josefa Pereira                                                        3112196900000004298Maria da Silva                                                        01000371.68060502202431122024000000000000000000005555700320CC00032379744214110000000
2100000000429901012022202269618414717Josefa Pereira                                                        3112196900000004299Maria da Silva                                                        01000709.71120502202431122024000000000000000000000000828339PP62198705647478720000000
2100000000430001012022202228029044965Joana dos Santos                                                      3112196900000004300Roberta Barbosa                                                       01000824.78120502202431122024000000000000000000005555244859PP15854486863645330000000
2100000000430101012022202218612405797Maria da Silva                                                        3112196900000004301Roberta Barbosa                                                       01000979.88110502202431122024000000000000000000005555604457CC03888308394830510000000
2100000000430201012022202238814077437Cristiano Ronaldo                                                     3112196900000004302Maria da Silva                                                        01000337.95030502202431122024000000000000000000005555621848PP82830244670349520000000
2100000000430301012022202237696693036Josefa Pereira                                                        3112196900000004303Roberta Barbosa                                                       01001127.61040502202431122024000000000000000000000000314739PP56927264533762230000000
2100000000430401012022202266505462230Alan Barbosa                                                          3112196900000004304Joana dos Santos                                                      01000871.54100502202431122024000000000000000000000000054774CC49718622623750410000000
2100000000430501012022202237620406976Alan Barbosa                                                          3112196900000004305Joana dos Santos                                                      01000802.80120502202431122024000000000000000000005555621254PP45223516344330120000000
2100000000430601012022202264768325977Carlos Fabrício                                                       3112196900000004306Roberta Barbosa                                                       01000067.18060502202431122024000000000000000000009999665373PP49635016179530020000000
2100000000430701012022202206021314726Roberta Barbosa                                                       3112196900000004307Maria da Silva                                                        01000253.40030502202431122024000000000000000000000000268185CC31471097221068230000000
2100000000430801012022202255295732288Roberta Barbosa                                                       3112196900000004308Roberta Barbosa                                                       01000635.74060502202431122024000000000000000000009999224437CD60396213484220330000000
2100000000430901012022202212607585447Pedro Monteiro                                                        3112196900000004309Maria da Silva                                                        01000745.87120502202431122024000000000000000000000000938588PP69273938061293330000000
2100000000431001012022202249775718486Carlos Fabrício                                                       3112196900000004310Maria da Silva                                                        01000336.57040502202431122024000000000000000000009999171697CC44278845252063320000000
2100000000431101012022202205010416190Alan Barbosa                                                          3112196900000004311Josefa Pereira                                                        01001003.94030502202431122024000000000000000000009999476469CC43000681602315730000000
2100000000431201012022202219349604410Roberta Barbosa                                                       3112196900000004312Maria da Silva                                                        01000615.88100502202431122024000000000000000000005555349854PP87141363315763430000000
2100000000431301012022202281040611167Cristiano Ronaldo                                                     3112196900000004313Joana dos Santos                                                      01000736.41030502202431122024000000000000000000009999276885PP66596370608825620000000
2100000000431401012022202211325141181Cristiano Ronaldo                                                     3112196900000004314Maria da Silva                                                        01000653.99010502202431122024000000000000000000005555048559CD65900631235610530000000
2100000000431501012022202211988350128Josefa Pereira                                                        3112196900000004315Josefa Pereira                                                        01001113.10100502202431122024000000000000000000005555995491PP46748809764401720000000
2100000000431601012022202223065778016Cristiano Ronaldo                                                     3112196900000004316Maria da Silva                                                        01000291.84120502202431122024000000000000000000009999869986CC38514484677710630000000
2100000000431701012022202242854316553Victor Czarnobay                                                      3112196900000004317Maria da Silva                                                        01000363.97100502202431122024000000000000000000005555086606PP99314695873604630000000
2100000000431801012022202232645450911Josefa Pereira                                                        3112196900000004318Roberta Barbosa                                                       01000229.77090502202431122024000000000000000000005555252795CC07577880422701020000000
2100000000431901012022202237914743585Roberta Barbosa                                                       3112196900000004319Maria da Silva                                                        01000056.59090502202431122024000000000000000000009999659952PP55607488234721930000000
2100000000432001012022202228825368169Roberta Barbosa                                                       3112196900000004320Maria da Silva                                                        01000355.65010502202431122024000000000000000000005555751681PP23350773979837810000000
